venue,matches_played,batting_first_wins,batting_first_win_rate
Arun Jaitley Stadium,14,7,0.5
"Arun Jaitley Stadium, Delhi",16,9,0.5625
Barabati Stadium,7,4,0.5714285714285714
"Barsapara Cricket Stadium, Guwahati",3,2,0.6666666666666666
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",14,7,0.5
Brabourne Stadium,10,6,0.6
"Brabourne Stadium, Mumbai",17,8,0.47058823529411764
Buffalo Park,3,2,0.6666666666666666
De Beers Diamond Oval,3,1,0.3333333333333333
Dr DY Patil Sports Academy,17,7,0.4117647058823529
"Dr DY Patil Sports Academy, Mumbai",20,10,0.5
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,6,0.46153846153846156
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,2,1.0
Dubai International Cricket Stadium,46,23,0.5
Eden Gardens,77,30,0.38961038961038963
"Eden Gardens, Kolkata",16,8,0.5
Feroz Shah Kotla,60,27,0.45
Green Park,4,0,0.0
Himachal Pradesh Cricket Association Stadium,9,5,0.5555555555555556
"Himachal Pradesh Cricket Association Stadium, Dharamsala",4,3,0.75
Holkar Cricket Stadium,9,1,0.1111111111111111
JSCA International Stadium Complex,7,2,0.2857142857142857
Kingsmead,15,8,0.5333333333333333
M Chinnaswamy Stadium,65,26,0.4
"M Chinnaswamy Stadium, Bengaluru",14,8,0.5714285714285714
M.Chinnaswamy Stadium,15,7,0.4666666666666667
MA Chidambaram Stadium,9,4,0.4444444444444444
"MA Chidambaram Stadium, Chepauk",48,31,0.6458333333333334
"MA Chidambaram Stadium, Chepauk, Chennai",28,14,0.5
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,2,0.4
Maharashtra Cricket Association Stadium,22,8,0.36363636363636365
"Maharashtra Cricket Association Stadium, Pune",13,10,0.7692307692307693
"Narendra Modi Stadium, Ahmedabad",24,9,0.375
Nehru Stadium,5,3,0.6
New Wanderers Stadium,8,3,0.375
Newlands,7,5,0.7142857142857143
OUTsurance Oval,2,1,0.5
Punjab Cricket Association IS Bindra Stadium,10,4,0.4
"Punjab Cricket Association IS Bindra Stadium, Mohali",11,5,0.45454545454545453
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,3,0.6
"Punjab Cricket Association Stadium, Mohali",35,15,0.42857142857142855
Rajiv Gandhi International Stadium,15,8,0.5333333333333333
"Rajiv Gandhi International Stadium, Uppal",49,19,0.3877551020408163
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",13,7,0.5384615384615384
"Sardar Patel Stadium, Motera",12,6,0.5
Saurashtra Cricket Association Stadium,10,3,0.3
Sawai Mansingh Stadium,47,15,0.3191489361702128
"Sawai Mansingh Stadium, Jaipur",10,5,0.5
Shaheed Veer Narayan Singh International Stadium,6,2,0.3333333333333333
Sharjah Cricket Stadium,28,10,0.35714285714285715
Sheikh Zayed Stadium,29,13,0.4482758620689655
St George's Park,7,3,0.42857142857142855
Subrata Roy Sahara Stadium,16,10,0.625
SuperSport Park,12,4,0.3333333333333333
"Vidarbha Cricket Association Stadium, Jamtha",3,2,0.6666666666666666
Wankhede Stadium,73,36,0.4931506849315068
"Wankhede Stadium, Mumbai",45,18,0.4
"Zayed Cricket Stadium, Abu Dhabi",8,3,0.375
